wl,abs,wl,em
350,2.5408941,360,12.2104582
351,2.656679,361,12.5311256
352,2.7739552,362,12.696312
353,2.9158052,363,12.9738692
354,3.0665808,364,13.0874654
355,3.3280231,365,13.4351574
356,3.6283316,366,13.8178146
357,4.0122473,367,14.2262873
358,4.4305099,368,14.665804
359,4.8822154,369,14.9229784
360,5.3739168,370,15.2392997
361,5.9216577,371,15.5190218
362,6.5414817,372,15.721951
363,7.2166672,373,15.8807652
364,7.9910518,374,16.0085354
365,8.806562,375,16.0160513
366,9.7126846,376,16.0376187
367,10.6206149,377,15.9604991
368,11.6553119,378,15.9049468
369,12.7245817,379,15.7016908
370,13.9292049,380,15.4879778
371,15.2377724,381,15.2523708
372,16.6127738,382,15.1723101
373,18.0600843,383,14.9831056
374,19.6255748,384,14.8638315
375,21.2281237,385,14.6033893
376,22.9667039,386,14.3360848
377,24.7913771,387,14.141325
378,26.7064366,388,13.8808828
379,28.6804732,389,13.770105
380,30.6597069,390,13.6001804
381,32.7568948,391,13.3227457
382,34.8769052,392,13.1642583
383,37.0940808,393,12.902509
384,39.2992803,394,12.6881425
385,41.5571298,395,12.5691953
386,43.7930606,396,12.336856
387,46.1647968,397,12.067264
388,48.5622931,398,11.7221863
389,50.8660136,399,11.4669725
390,53.2097301,400,11.2071839
391,55.5464416,401,10.8408656
392,57.7064479,402,10.6114673
393,59.953903,403,10.3974276
394,62.2196613,404,10.0840473
395,64.4589816,405,9.8033449
396,66.5975211,406,9.6834173
397,68.6757279,407,9.4347391
398,70.7717859,408,9.1435798
399,72.7930493,409,8.9615644
400,74.7363545,410,8.8145142
401,76.7675604,411,8.5485168
402,78.6358449,412,8.3776118
403,80.3107029,413,8.2955905
404,81.8664768,414,8.2452666
405,83.2907388,415,8.1527884
406,84.5834887,416,8.2897084
407,85.8154538,417,8.4115967
408,86.8863053,418,8.5625682
409,87.8742275,419,8.7736669
410,88.7848693,420,9.1190714
411,89.7135884,421,9.6693659
412,90.6472788,422,10.2235816
413,91.6101187,423,11.1006542
414,92.6054977,424,12.1313125
415,93.5683377,425,13.4704495
416,94.6728581,426,15.3258959
417,95.7669841,427,17.4414577
418,96.8529754,428,20.0922822
419,97.824628,429,22.932638
420,98.6426239,430,26.5033429
421,99.3654883,431,30.4491893
422,99.7708708,432,34.8146188
423,100,433,39.8443882
424,99.8305257,434,45.3055049
425,99.0663096,435,50.9028881
426,97.8808935,436,56.7558117
427,96.2919025,437,62.4574372
428,94.1599159,438,68.4923763
429,91.5482041,439,74.0675385
430,88.3745156,440,79.3260527
431,84.9023263,441,84.3692201
432,80.7630862,442,88.9588194
433,76.3788993,443,92.4909646
434,71.5396174,444,95.4296806
435,66.3419539,445,97.5668098
436,60.9144833,446,99.2667098
437,55.3909772,447,100
438,49.7323436,448,99.8705958
439,44.2492854,449,99.3408884
440,38.8324351,450,97.6452365
441,33.6838062,451,95.1555137
442,28.7450994,452,92.3765922
443,24.3975189,453,89.2019424
444,20.5296637,454,85.7527989
445,17.0735179,455,81.9873341
446,14.0638805,456,78.3512735
447,11.5287711,457,74.7348195
448,9.3215379,458,71.2765262
449,7.4446666,459,68.4025123
450,5.9573603,460,65.9386049
451,4.7721701,461,63.6975603
452,3.7713679,462,61.8823076
